#{"t_start": 1743722901.112252, "env_id": "None"}
r,l,t
14.024401,47,52.259772
14.771139,47,52.460734
14.122651,47,52.477286
14.346446,47,52.682762
14.360063,47,52.700068
15.906871,47,52.917998
16.749682,47,52.935718
17.238947,47,53.141044
18.088381,47,53.161919
18.026769,47,53.361544
17.409363,47,53.379741
18.51308,47,53.58691
18.505384,47,53.60491
17.411306,47,53.813908
17.040356,47,53.830806
18.161204,47,54.031691
17.318985,47,54.048746
17.893676,47,54.250251
17.876743,47,54.267951
17.578187,47,54.470597
16.953727,47,54.490104
17.258234,47,54.698781
16.283539,47,54.715643
16.22638,47,54.921429
16.15403,47,54.938007
17.5068,47,55.140538
17.616437,47,55.157276
18.085205,47,55.35707
17.552534,47,55.373711
17.503764,47,55.575458
17.448992,47,55.592355
17.552135,47,55.794072
17.408413,47,55.811363
17.155421,47,56.012996
17.322131,47,56.033194
17.45254,47,56.242323
17.212699,47,56.259521
16.835891,47,56.46131
17.170938,47,56.477803
17.215422,47,56.690753
17.052129,47,56.70814
17.013396,47,56.919147
16.940433,47,56.936129
16.794996,47,57.147121
17.009573,47,57.164018
17.072425,47,57.376418
16.991605,47,57.393278
16.684256,47,57.606158
16.852076,47,57.633767
17.19689,47,57.905924
16.895832,47,57.923485
17.134662,47,58.151809
16.811128,47,58.172846
16.593458,47,58.388158
16.774439,47,58.406113
16.556917,47,58.636603
16.76408,47,58.655622
16.883502,47,58.864719
16.714445,47,58.882357
16.542007,47,59.083737
16.658532,47,59.104118
16.533849,47,59.308424
16.623193,47,59.325223
16.735012,47,59.531908
16.593406,47,59.54867
16.548217,47,59.760593
16.564554,47,59.777565
16.839445,47,59.9907
16.527767,47,60.007732
16.587829,47,60.21224
16.474666,47,60.232953
16.586279,47,60.433865
16.442124,47,60.450861
16.427837,47,60.658631
16.395728,47,60.6766
16.3979,47,60.890575
16.339518,47,60.907024
16.219701,47,61.10883
16.238739,47,61.125755
16.33356,47,61.337664
16.274082,47,61.359294
16.453002,47,61.561796
16.263854,47,61.578806
16.223879,47,61.792997
16.24132,47,61.811446
16.474913,47,62.024513
16.234729,47,62.041695
16.37429,47,62.257959
16.136684,47,62.277285
16.509162,47,62.477238
16.189631,47,62.493921
16.263983,47,62.70596
16.171203,47,62.723073
16.346979,47,62.926454
16.189585,47,62.943353
16.441529,47,63.146979
16.143146,47,63.164608
16.21568,47,63.36316
16.121395,47,63.37976
16.130808,47,63.578448
16.135659,47,63.601591
16.249047,47,63.802879
16.098264,47,63.819782
16.231333,47,64.021804
16.175814,47,64.038727
16.39685,47,64.239566
16.164823,47,64.256321
16.896687,47,64.456694
16.345527,47,64.473547
16.238351,47,64.689184
16.123978,47,64.708398
16.423119,47,64.920962
16.139274,47,64.937788
16.197517,47,65.138156
16.214159,47,65.155598
16.170926,47,65.355648
16.125772,47,65.372442
16.121022,47,65.57144
16.13649,47,65.588014
16.187427,47,65.806684
16.082244,47,65.823974
16.204978,47,66.025404
16.175843,47,66.04578
16.619927,47,66.250538
16.244121,47,66.267578
16.313428,47,66.467116
16.172186,47,66.483864
16.40138,47,66.688772
16.20094,47,66.705995
16.181376,47,66.911511
16.133575,47,66.928562
16.438289,47,67.131601
16.229326,47,67.148331
16.666881,47,67.350502
16.312398,47,67.367166
16.283808,47,67.567061
16.234368,47,67.587478
16.290101,47,67.789774
16.2002,47,67.80656
16.992094,47,68.019477
16.308406,47,68.036821
16.390831,47,68.248722
16.326593,47,68.267602
16.289212,47,68.477717
16.198541,47,68.497618
16.125269,47,68.712644
16.105844,47,68.730205
16.329695,47,68.94747
16.1443,47,68.964639
16.396879,47,69.180832
16.201942,47,69.199647
16.287622,47,69.445494
16.188444,47,69.462145
16.275433,47,69.713315
16.194607,47,69.733023
16.199248,47,69.957659
16.172633,47,69.974632
16.321717,47,70.177239
16.206289,47,70.194077
16.257944,47,70.408758
16.168077,47,70.425625
19.261363,47,121.905545
17.682028,47,121.914402
17.327024,47,121.934664
19.804483,47,121.962974
17.327024,47,121.982955
23.635092,47,122.208251
22.572758,47,122.225758
15.078537,47,122.463973
14.689871,47,122.48081
19.766399,47,122.702441
18.123375,47,122.723183
18.89021,47,122.942914
20.020396,47,122.960641
24.046989,47,123.180274
24.48186,47,123.197182
43.446564,47,123.426122
44.42967,47,123.447581
38.09734,47,123.68118
41.173924,47,123.698448
29.147611,47,123.926673
36.622436,47,123.948696
45.638726,47,124.189006
44.412505,47,124.20602
45.581914,47,124.422635
45.40068,47,124.439537
36.761582,47,124.704213
45.308746,47,124.726577
45.456794,47,124.942605
44.319417,47,124.959612
45.679427,47,125.179514
46.053127,47,125.19789
44.561866,47,125.431292
45.440918,47,125.448603
45.437091,47,125.667058
44.872789,47,125.685342
42.66166,47,125.908388
42.13725,47,125.929636
40.918209,47,126.152348
41.060912,47,126.169267
41.313428,47,126.388169
38.454568,47,126.408511
46.039603,47,126.623958
45.87946,47,126.642807
42.038901,47,126.87045
45.519045,47,126.888621
37.771235,47,127.108999
36.571365,47,127.129276
41.791218,47,127.345626
42.371661,47,127.364258
45.526406,47,127.573793
45.940484,47,127.590856
43.848266,47,127.799557
43.716145,47,127.816326
44.751226,47,128.024954
43.47152,47,128.045029
38.104759,47,128.264932
36.50424,47,128.281712
42.691835,47,128.496802
39.920928,47,128.513802
34.207823,47,128.736885
