#{"t_start": 1743796924.0442216, "env_id": "None"}
r,l,t
31.319432,47,70.497707
31.461884,47,70.524119
33.799656,47,70.961691
33.323642,47,70.989475
29.365273,47,71.441784
29.425459,47,71.472567
31.386439,47,71.882618
31.294597,47,71.9126
37.805506,47,72.341412
38.185489,47,72.367224
32.549589,47,72.801474
32.867065,47,72.832555
35.587474,47,73.251626
35.849262,47,73.277587
37.360007,47,73.691994
37.016844,47,73.719759
31.062757,47,74.129353
31.116804,47,74.155879
29.358335,47,74.57274
29.303621,47,74.60455
36.303615,47,75.013161
35.887739,47,75.048432
34.320034,47,75.467511
34.10495,47,75.494239
38.418649,47,75.901671
38.22606,47,75.931082
35.553989,47,76.336858
35.552918,47,76.366903
31.674386,47,76.785494
30.793327,47,76.811835
35.350917,47,77.23285
35.798939,47,77.258635
34.420564,47,77.668088
34.657893,47,77.698385
36.51783,47,78.097795
36.283644,47,78.127089
34.889245,47,78.546968
34.776569,47,78.572943
35.266737,47,78.986344
35.478109,47,79.01289
37.420695,47,79.418417
37.604165,47,79.444741
42.780893,47,79.859835
42.887489,47,79.889917
38.599062,47,80.331722
38.78437,47,80.358423
39.293131,47,80.784128
39.490696,47,80.817
29.089011,47,81.223325
29.495864,47,81.25125
34.01221,47,81.691749
33.907946,47,81.71839
38.955234,47,82.188711
38.972091,47,82.215077
36.94031,47,82.693566
36.858787,47,82.724547
34.976281,47,83.219602
35.062416,47,83.247499
40.049868,47,83.716678
39.943579,47,83.743256
37.226803,47,84.207143
36.977295,47,84.236969
40.35807,47,84.70023
39.965138,47,84.726587
33.717897,47,85.192276
34.359971,47,85.218277
36.282082,47,85.688771
36.363013,47,85.715336
42.185898,47,86.193738
42.287369,47,86.219952
33.673085,47,86.68958
33.617719,47,86.722466
37.812737,47,87.141569
37.770028,47,87.167192
39.339151,47,87.594285
39.488132,47,87.620454
31.702853,47,88.024518
32.257555,47,88.05448
29.612105,47,88.453554
29.453872,47,88.483576
32.271672,47,88.887945
32.437622,47,88.913862
36.986561,47,89.332478
37.140804,47,89.358177
30.76267,47,89.767931
30.323229,47,89.794117
35.051697,47,90.200978
34.815017,47,90.231909
40.895622,47,90.641745
40.853636,47,90.667992
42.081607,47,91.07558
42.201847,47,91.105446
43.330882,47,91.551128
43.456324,47,91.581025
43.544117,47,92.001653
43.542376,47,92.027208
44.514317,47,92.448714
44.590066,47,92.474788
32.4439,47,92.895418
32.428111,47,92.925662
34.870521,47,93.348279
34.842303,47,93.374071
39.468349,47,93.801004
39.387655,47,93.827373
40.577962,47,94.260486
40.577152,47,94.286409
39.205386,47,94.695021
39.069338,47,94.720978
44.019788,47,95.130608
43.99332,47,95.157305
40.187955,47,95.562797
40.260667,47,95.588412
42.334234,47,96.069615
42.367603,47,96.095884
43.637116,47,96.564406
43.54546,47,96.594748
41.379443,47,97.019059
41.528606,47,97.046061
42.594949,47,97.45898
42.432663,47,97.491988
40.998156,47,97.902219
41.224877,47,97.928964
41.307586,47,98.391
40.896034,47,98.420308
43.588568,47,98.891076
43.401151,47,98.921371
43.064709,47,99.328208
43.003457,47,99.354622
44.353786,47,99.77936
44.40271,47,99.805874
42.91801,47,100.217969
42.847086,47,100.244154
42.388327,47,100.662807
42.486583,47,100.699493
45.87361,47,101.140852
45.918986,47,101.166607
40.072345,47,101.591554
40.249235,47,101.621449
40.458781,47,102.035478
40.439931,47,102.062216
39.7147,47,102.484716
39.734634,47,102.512786
39.19289,47,102.924905
39.255455,47,102.955734
42.708653,47,103.37757
42.832459,47,103.404764
43.885033,47,103.818791
43.754374,47,103.845593
45.833897,47,104.260194
45.859549,47,104.287361
40.761953,47,104.702837
40.697661,47,104.734979
44.405014,47,105.187654
44.348767,47,105.213821
45.892529,47,105.66284
45.890274,47,105.692844
45.898534,47,106.113885
45.87739,47,106.14017
44.531909,47,106.576917
44.522536,47,106.60457
45.775635,47,107.009745
45.788295,47,107.035753
45.050383,47,107.443474
45.043863,47,107.470199
45.568943,47,107.881418
45.506367,47,107.90799
45.781547,47,108.362539
45.764209,47,108.390414
44.259617,47,108.818244
44.220544,47,108.844197
45.730994,47,109.247272
45.763069,47,109.276507
45.710278,47,109.705642
45.731568,47,109.731789
45.837766,47,110.166474
45.812684,47,110.19249
45.91666,47,110.597507
45.913698,47,110.62803
44.325918,47,111.028544
44.373756,47,111.058246
44.54977,47,111.461819
44.554423,47,111.487843
45.883915,47,111.918139
45.890195,47,111.94512
45.902755,47,112.353681
45.898715,47,112.384572
45.553108,47,112.80492
45.569327,47,112.831274
45.915655,47,113.241946
45.927466,47,113.268687
45.342621,47,113.692343
45.330919,47,113.720014
45.826098,47,114.125824
45.824121,47,114.157537
45.934129,47,114.564745
45.94943,47,114.59018
